Career,Skills
AI Engineer,"Python Machine Learning Deep Learning TensorFlow PyTorch NLP Computer Vision Git Linux"
Data Scientist,"Python Pandas NumPy Statistics Machine Learning SQL Data Visualization"
Data Analyst,"Excel SQL Power BI Python Tableau Statistics Data Cleaning"
Backend Developer,"Python Django Flask REST API SQL Git Docker"
Frontend Developer,"HTML CSS JavaScript React Bootstrap UI UX"
Full Stack Developer,"HTML CSS JavaScript React Node.js Express MongoDB SQL Git"
Cloud Engineer,"AWS Azure Google Cloud Docker Kubernetes Linux Networking Terraform"
DevOps Engineer,"Docker Kubernetes Jenkins Git Linux AWS CI/CD Terraform"
Cyber Security Analyst,"Networking Linux Ethical Hacking Penetration Testing SIEM Firewalls Python"
Automation Engineer,"Python Selenium Automation Testing Robot Framework CI/CD"
Machine Learning Engineer,"Python Scikit-learn TensorFlow PyTorch Machine Learning Feature Engineering"
Mobile App Developer,"Flutter Dart Firebase Android iOS REST API"
Software Engineer,"Java Python C++ OOP Git Data Structures Algorithms SQL"
Database Administrator,"SQL MySQL PostgreSQL Oracle Database Backup Performance Tuning"
Network Engineer,"Networking Cisco Routing Switching Linux Firewalls TCP/IP"
Game Developer,"Unity C# Unreal Engine C++ Game Design Physics"
Embedded Systems Engineer,"C C++ Microcontrollers Arduino Raspberry Pi IoT Embedded Linux"
Blockchain Developer,"Solidity Ethereum Smart Contracts Web3 JavaScript Cryptography"
UI UX Designer,"Figma Adobe XD Wireframing Prototyping User Research Design Thinking"
QA Engineer,"Manual Testing Automation Selenium JUnit TestNG Bug Tracking Agile"